Accession,(SSI VS NSI)p-value,(SSI VS NSI)Log2Fc,(SSI VS SS)p-value,(SSI VS SS)Log2Fc,(NSI VS NS)p-value,(NSI VS NS)Log2Fc,(SS VS NS)p-value,(SS VS NS)Log2Fc,SSI VS NSI-DE,SSI VS NSI-Up,SSI VS NSI-Down,SSI VS SS-DE,SSI VS SS-Up,SSI VS SS-Down,NSI VS NS-DE,NSI VS NS-Up,NSI VS NS-Down,SS VS NS-DE,SS VS NS-Up,SS VS NS-Down
A0A0N7KF66_ORYSJ,0.002663068,-1.241278308,NP,NP,2.36E-06,6.09836586,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
A0A0N7KHA7_ORYSJ,0.044609838,0.206549456,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
A0A0N7KHG5_ORYSJ,0.050257461,0.164432793,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0N7KHY9_ORYSJ,0.011618693,0.36094574,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
A0A0N7KI63_ORYSJ,0.000362899,0.311793863,0.000792647,0.737905306,0.34880293,0.015423397,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
A0A0N7KJH4_ORYSJ,0.000287823,-0.416581614,NP,NP,0.018529469,0.15701099,0.333552594,0.051284703,1,0,1,0,0,0,1,1,0,0,0,0
A0A0N7KJI5_ORYSJ,0.005533659,0.495389423,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
A0A0N7KJY3_ORYSJ,0.005910878,0.415861722,0.000348614,-2.41136472,3.84E-05,-0.868211508,NP,NP,1,1,0,1,0,1,1,0,1,0,0,0
A0A0N7KMI8_ORYSJ,0.040771044,-0.847447402,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0N7KMK1_ORYSJ,0.005785903,-0.248641408,0.096246601,0.162949347,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0N7KML3_ORYSJ,0.187253996,0.084051848,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0N7KMR2_ORYSJ,0.041802838,-0.140894307,NP,NP,0.000305144,-0.285715457,NP,NP,1,0,1,0,0,0,1,0,1,0,0,0
A0A0N7KN90_ORYSJ,0.017677318,0.077727663,0.162080904,0.255534612,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
A0A0N7KNA1_ORYSJ,0.000426863,-0.411212273,0.068586513,0.213612083,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0N7KP75_ORYSJ,0.431443418,0.011840015,0.255169423,0.191452156,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0N7KPF9_ORYSJ,0.000279281,-0.349491226,NP,NP,0.008788944,0.179416977,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
A0A0N7KQF2_ORYSJ,2.16E-05,0.910909542,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
A0A0N7KSX4_ORYSJ,0.000313545,0.27245085,NP,NP,0.28749728,-0.01878645,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
A0A0N7KT80_ORYSJ,0.089370676,-0.127786569,NP,NP,0.000976859,0.518744585,NP,NP,0,0,0,0,0,0,1,1,0,0,0,0
A0A0N7KT99_ORYSJ,1.01E-05,-0.525486404,NP,NP,0.037440534,0.07053041,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
A0A0N7KTJ8_ORYSJ,0.036739558,-0.129386855,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0N7KTM9_ORYSJ,0.377564508,-0.02515809,NP,NP,0.003385994,-0.107068933,NP,NP,0,0,0,0,0,0,1,0,1,0,0,0
A0A0P0UXP1_ORYSJ,0.320084831,-0.067185263,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0UXP2_ORYSJ,0.002976058,0.309638306,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
A0A0P0UXX1_ORYSJ,0.000101071,0.34527132,NP,NP,0.000125957,0.345511451,NP,NP,1,1,0,0,0,0,1,1,0,0,0,0
A0A0P0UZU8_ORYSJ,0.00185858,-0.268921516,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0V017_ORYSJ,2.27E-05,0.725802702,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
A0A0P0V0V2_ORYSJ,0.067532439,0.070848291,NP,NP,0.000368988,0.518176175,NP,NP,0,0,0,0,0,0,1,1,0,0,0,0
A0A0P0V132_ORYSJ,0.00712298,0.215669251,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
A0A0P0V1T8_ORYSJ,0.014109351,-0.123726512,0.193180378,0.086512333,0.000229498,0.952956038,0.126114722,-0.204336456,1,0,1,0,0,0,1,1,0,0,0,0
A0A0P0V2L8_ORYSJ,0.012027071,-0.132079482,0.031992028,-0.335497411,NP,NP,NP,NP,1,0,1,1,0,1,0,0,0,0,0,0
A0A0P0V3J9_ORYSJ,0.078759483,-0.116868321,0.195952981,0.12801212,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0V3S3_ORYSJ,0.45600827,0.00708407,NP,NP,0.479645045,0.002737117,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0V4C5_ORYSJ,0.00040659,0.487769169,0.033117454,-1.548208264,NP,NP,NP,NP,1,1,0,1,0,1,0,0,0,0,0,0
A0A0P0V6W6_ORYSJ,0.03158697,-0.174570576,NP,NP,0.018643987,0.21555253,0.103821761,-0.93606384,1,0,1,0,0,0,1,1,0,0,0,0
A0A0P0V732_ORYSJ,0.001026696,-0.633194436,0.001291551,1.672168049,NP,NP,NP,NP,1,0,1,1,1,0,0,0,0,0,0,0
A0A0P0V773_ORYSJ,5.11E-05,0.915283129,NP,NP,0.037748565,0.121702617,NP,NP,1,1,0,0,0,0,1,1,0,0,0,0
A0A0P0V7C3_ORYSJ,0.017280067,0.410717961,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
A0A0P0V8S3_ORYSJ,0.015677458,0.892420025,NP,NP,0.011791443,-1.109702295,NP,NP,1,1,0,0,0,0,1,0,1,0,0,0
A0A0P0VAV4_ORYSJ,0.000644174,0.206860814,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
A0A0P0VB46_ORYSJ,0.002101686,-0.185551004,0.158160047,-0.206496656,NP,NP,0.019939039,0.648870102,1,0,1,0,0,0,0,0,0,1,1,0
A0A0P0VBB9_ORYSJ,0.054313198,-0.091656509,NP,NP,0.098179772,-0.0622401,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0VC55_ORYSJ,0.005910878,0.415861722,NP,NP,3.84E-05,-0.868211508,NP,NP,1,1,0,0,0,0,1,0,1,0,0,0
A0A0P0VC79_ORYSJ,0.207060489,-0.040832959,0.013975899,-0.382085346,NP,NP,NP,NP,0,0,0,1,0,1,0,0,0,0,0,0
A0A0P0VCX2_ORYSJ,0.04176443,-0.165881292,NP,NP,0.036397336,0.158738415,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
A0A0P0VDU2_ORYSJ,0.011883624,-0.05390436,NP,NP,0.315398643,0.01310082,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0VDY1_ORYSJ,0.167967525,0.063494549,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0VE20_ORYSJ,0.004650429,-0.107845684,0.433712741,0.028176701,4.18E-06,0.450131374,0.431037957,0.053409551,1,0,1,0,0,0,1,1,0,0,0,0
A0A0P0VEA2_ORYSJ,0.007283407,-0.227460187,NP,NP,0.016207765,0.161814374,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
A0A0P0VEC8_ORYSJ,0.008552216,-0.112999471,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0VES7_ORYSJ,0.000313545,0.27245085,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
A0A0P0VEZ5_ORYSJ,0.011887834,0.081015969,0.015880835,1.347696624,4.50E-09,#NUM!,0.007095015,0.82687662,1,1,0,1,1,0,1,0,0,1,1,0
A0A0P0VF79_ORYSJ,0.002974042,-0.476333561,0.019497867,-0.281912683,NP,NP,NP,NP,1,0,1,1,0,1,0,0,0,0,0,0
A0A0P0VGX0_ORYSJ,0.265177715,-0.05763263,0.001171824,2.036077774,NP,NP,NP,NP,0,0,0,1,1,0,0,0,0,0,0,0
A0A0P0VHB7_ORYSJ,0.007441597,-0.157092392,0.113401582,-1.954379111,0.195999104,0.043237097,0.05925611,3.818899811,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0VJ24_ORYSJ,0.028868315,0.091998568,0.000402471,1.177833665,NP,NP,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
A0A0P0VJ82_ORYSJ,4.39E-05,0.072867851,0.013100005,0.405621095,0.120700827,0.046116845,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
A0A0P0VJD3_ORYSJ,0.256213133,0.040935279,NP,NP,0.000614585,-0.556462519,NP,NP,0,0,0,0,0,0,1,0,1,0,0,0
A0A0P0VJD7_ORYSJ,0.07459323,0.071436226,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0VJP8_ORYSJ,0.053093343,0.405705667,NP,NP,NP,NP,0.088639625,0.821121999,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0VK23_ORYSJ,0.001522413,-0.14332181,NP,NP,0.003951774,-0.134027228,NP,NP,1,0,1,0,0,0,1,0,1,0,0,0
A0A0P0VK52_ORYSJ,0.126457438,0.286951331,0.009880073,-0.430139374,NP,NP,NP,NP,0,0,0,1,0,1,0,0,0,0,0,0
A0A0P0VLP5_ORYSJ,0.002765472,-0.780036894,0.070722281,-1.045082379,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0VMH4_ORYSJ,0.04976358,0.367857645,0.084903543,-0.239278213,0.073777687,-0.272650707,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
A0A0P0VNM2_ORYSJ,0.302980368,0.116274831,0.005079658,-0.349549094,NP,NP,5.27E-05,0.286081136,0,0,0,1,0,1,0,0,0,1,1,0
A0A0P0VPB6_ORYSJ,0.011159122,-0.159038483,NP,NP,0.057885862,-0.042698563,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0VQK9_ORYSJ,0.007441597,-0.157092392,0.316821833,-0.060795615,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0VQX1_ORYSJ,0.098371996,-0.084167574,0.25303997,0.116867168,NP,NP,0.121360033,0.241173399,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0VR33_ORYSJ,0.002779933,-0.435513101,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0VRQ2_ORYSJ,0.005068427,-0.291574911,0.32531567,0.052972268,0.006623708,0.121997899,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
A0A0P0VRS2_ORYSJ,0.034627679,0.272337281,NP,NP,0.001526248,0.2831615,NP,NP,1,1,0,0,0,0,1,1,0,0,0,0
A0A0P0VRX5_ORYSJ,0.0627614,-0.141627509,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0VWD5_ORYSJ,0.43667269,0.008079936,NP,NP,0.003803027,-0.321751035,NP,NP,0,0,0,0,0,0,1,0,1,0,0,0
A0A0P0VWP6_ORYSJ,0.000631018,-0.17891642,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0W024_ORYSJ,0.148412785,0.150194068,0.11733816,-0.244665049,0.000169403,-0.342122572,NP,NP,0,0,0,0,0,0,1,0,1,0,0,0
A0A0P0W0P4_ORYSJ,0.263648274,-0.270357931,0.065482854,0.336331545,NP,NP,0.034568632,-0.171068012,0,0,0,0,0,0,0,0,0,1,0,1
A0A0P0W117_ORYSJ,0.008230114,-0.328567779,NP,NP,0.117584423,0.030711878,0.201375271,0.500897588,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0W1J8_ORYSJ,0.012575332,-0.267578534,NP,NP,0.473079525,0.076457062,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0W4X4_ORYSJ,0.008477235,0.108023449,NP,NP,NP,NP,NP,NP,1,1,0,0,0,0,0,0,0,0,0,0
A0A0P0W5T6_ORYSJ,0.05465886,-0.191490729,NP,NP,0.030862777,0.110284333,NP,NP,0,0,0,0,0,0,1,1,0,0,0,0
A0A0P0W6K8_ORYSJ,0.002643749,-0.236504585,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0W732_ORYSJ,0.001934361,-0.197173727,NP,NP,0.000583131,0.339714257,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
A0A0P0W8B1_ORYSJ,0.034627679,0.272337281,NP,NP,0.002643876,0.620800424,NP,NP,1,1,0,0,0,0,1,1,0,0,0,0
A0A0P0W8V3_ORYSJ,0.00013402,0.419830754,0.003187446,1.994137797,NP,NP,NP,NP,1,1,0,1,1,0,0,0,0,0,0,0
